University,City,ZIP,Mean HV,Mean RP,Central Campus Zip,P/R Ratio,MHP1B,MHP2B,MHP3B,MHP4B,MHP5B,Homes Avaliable,Estimated Demand by 2030,Vacancy Rate,Rental Vacancy,% Rented,Average Rental Occupancy,Average Bedrooms
Arizona State University ,"Tempe,  AZ",85281,426001.2762,1838.446193,85287,19.30984245,269612.9765,361542.6942,456901.2084,527105.7416,586918.0289,29562,34715,1.3,8.3,79.2,2.29,1.83
University of Central Florida ,"Orlando, FL",32826,370860.5973,2132.69213,32816,14.49109759,167479.6125,249431.1318,358859.7795,434014.6074,538992.5674,,,3.5,11.1,44.3,2.87,2.77
Texas A&M University ,"College Station, TX",77840,283682.1778,1976.028442,77840,11.9634824,155986.4719,201334.4122,268020.6772,337149.3405,549700.2883,,,0.2,11.7,88,2.36,2.21
Ohio State University ,"Columbus, OH",43201,355426.3015,2142.548978,43210,13.824122,207113.6519,331467.9181,379596.3086,378355.8239,404243.38,,,2.2,5.1,82.9,2.57,2.21
University of Florida ,"Gainesville, FL",32603,410753.5906,1680.472727,32611,20.36895055,163561.5648,321869.8347,422128.3729,491269.6743,531833.5148,,,0,25.3,85.9,2.04,2.42
University of Texas at Austin ,"Austin, TX",78705,351810.0635,1908.124102,78712,15.36456945,242289.8627,352067.4341,710024.4631,959498.0737,1016292.875,,,0,5.7,90.1,2.44,2.26
Michigan State University ,"East Lansing, MI",48823,296538.7581,1978.444444,48824,12.49040035,121592.2219,206738.1649,282438.5159,354499.1924,407378.3015,,,1.3,5.8,57.2,2.38,2.59
University of South Florida ,"Tampa, FL",33613,345731.6728,1600.566204,33620,18.00048799,127800.698,180084.4672,382486.4638,561252.7566,1465122.139,,,3.6,9.6,69.7,2.32,2.64
University of Minnesota ,"Minneapolis, MN",55414,331183.107,1955.159094,55455,14.11577827,209006.8259,319505.2996,335764.5643,367980.0937,395043.3177,,,5.6,3.1,81.5,2.64,2.1
University of Illinois Urbana-Champaign ,"Champaign, IL",61801,168479.8451,1321.959064,61820,10.62059142,99409.20905,123224.1374,192460.6241,253670.9558,291412.3974,,,4,12,68.7,2.06,2.03
Pennsylvania State University ,University Park,16801,387275.7153,2167.444444,16802,14.88987474,207739.5316,284783.319,366022.0788,489911.8556,580127.7507,,,0.7,4.1,58.7,2.4,2.41
Indiana University Bloomington ,"Bloomington, IN",47401,346958.1656,1642.398693,47405,17.60423982,149167.0827,220402.9489,337034.9094,488246.3949,612577.3307,,,1.6,5.5,42.5,2.15,2.74
University of Wisconsin-Madison ,"Madison, WI",53703,394632.3414,1881.483894,53705,17.47877224,338534.4547,498091.7929,557467.1952,631432.7197,764080.6135,,,2,3.4,85.6,1.96,1.66
"University of California, Los Angeles ","Los Angeles, CA",90024,1354719.67,3620.819725,90095,31.17893581,628772.2069,1070117.996,2207119.271,3376787.417,4526237.157,,,3,6.8,69.9,2.35,1.89
University of Michigan ,"Ann Arbor, MI",48104,551063.3588,2181.183415,48109,21.05368409,260485.4141,299167.8058,485600.9756,734298.5131,822726.3288,,,0.7,2.4,62.2,2.48,2.55
University of Georgia ,"Athens, GA",30601,270499.9652,1780.277778,30602,12.6618801,305150.1106,282174.3323,297176.4526,383305.3973,490671.7312,,,3.2,3.8,65.4,2.54,2.51
Purdue University ,"West Lafayette, IN",47906,351528.1741,2008.618881,47907,14.58415769,116670.938,266837.1535,302447.4063,416650.2035,569486.3364,,,1.1,4.2,54.3,2.39,2.77
University of North Carolina at Chapel Hill ,"Chapel Hill, NC",27516,600445.475,2362.028872,27599,21.18395905,328992.3397,389113.1349,522886.904,735905.4819,929517.3737,,,2.2,4.6,31.2,2.48,3.16
Florida State University ,"Tallahassee, FL",32304,161715.5029,1185.775794,32304,11.36495785,105111.2409,136883.3281,180308.1993,228800.3442,465784.8123,,,3.2,4.9,87.7,2.37,2.37
University of Alabama ,"Tuscaloosa, AL",35401,152486.7885,1958.888889,35487,6.48695924,202442.8413,208727.9611,182947.616,279815.8005,607100.4908,,,0.6,4.5,63.9,2.42,2.43
University of Kentucky ,"Lexington, KY",40504,243866.9019,1547.551821,40506,13.13186515,141467.9558,180339.78,250243.3952,293567.5562,432579.9271,,,1,6,67.8,2.4,2.32
University of Arizona ,"Tucson, AZ",85719,350170.9174,1576.993377,85721,18.50414225,205293.057,285634.6706,382992.6025,499055.8687,623526.5724,,,2.4,7.1,72.2,2.24,2.12
University of South Carolina ,"Columbia, SC",29205,288878.0176,1624.989122,29208,14.81435648,127778.314,177328.5486,311363.5395,592474.1133,777173.0568,,,2.6,7.4,47.1,1.93,2.52
University of Missouri ,"Columbia, MO",65203,350504.7678,1273.431548,65211,22.93702453,137063.9088,170975.6529,303992.3603,408741.2011,557274.2018,,,1.9,7.4,41.3,2.11,3.13
"University of Tennessee, Knoxville ","Knoxville, TN",37916,397191.1339,1655.416667,37996,19.9945197,174933.201,301143.0446,418208.7087,345856.8484,397925.0111,,,0,8.6,96.8,2.55,2.06
University of Oklahoma,"Norman, OK",73069,226833.3135,1294.415056,73019,14.60333456,122215.7576,163028.2405,225157.0196,327245.3285,479089.8747,,,1.3,6.9,53.4,2.15,2.52
University of Colorado Boulder ,"Boulder, CO",80302,1136694.909,2681.994048,80309,35.31871215,399107.3099,832138.244,1194852.512,1642680.16,2099559.484,,,0.5,5.1,61,2.3,2.49
University of Virginia ,"Charlottesville, VA",22903,511209.31,1866.272904,22903,22.82665935,271487.8739,341751.8372,466966.3458,718960.2647,1125092.332,,,0.2,4.4,58.1,2.52,2.79
University of Washington ,"Seattle, WA",98105,1145313.801,2031.28732,98105,46.98636958,424372.9125,790163.8495,1117186.948,1540896.289,1619384.571,,,0.7,5.4,67.3,2.2,2.11
Clemson University ,"Clemson, SC",29631,392474.5427,1425,29634,22.95172764,125050.3582,199567.9363,372552.6462,496399.3543,678862.8853,,,0.3,7.1,55.3,2.54,2.9
University of Iowa ,"Iowa City, IA",52240,276748.6773,1466.436111,52242,15.72682887,211794.2941,198437.4484,267702.9929,347377.9242,484726.8027,,,1.2,4.1,49.4,2.28,2.68
"University of Maryland, College Park ","College Park, MD",20740,437710.2301,2159.694444,20742,16.88935794,209865.5119,261427.2519,424834.5295,473991.6483,509740.5568,,,2.4,5.5,54.7,2.81,2.82
North Carolina State University ,"Raleigh, NC",27606,438622.7019,1585.800212,27606,23.0494936,293165.3073,280480.0802,436155.668,660271.7231,846821.0291,,,2.7,5.6,64.1,2.35,2.43
University of Nebraska-Lincoln ,"Lincoln, NE",68508,178653.9544,826.3022487,68588,18.0174138,166811.2105,177930.0622,177261.401,198075.9395,438775.263,,,3.9,8.5,90.6,1.78,1.54
University of Arkansas,"Fayetteville, AR",72701,372500.7615,1410.815385,72701,22.00268757,287068.7718,310013.389,324896.8566,487699.4702,764379.5168,,,3.4,2.2,60.9,2.03,2.44
Rutgers University-New Brunswick ,"New Brunswick, NJ",8901,418080.5971,2725.991979,8901,12.78068682,268511.8464,325329.4938,420379.4264,498306.6476,896089.3856,,,2.7,5.6,81.3,3.08,2.05
University of Mississippi ,"University, MS",38655,358388.9825,2077.571429,38677,14.37531732,237791.4201,262197.6935,355489.9282,546316.2383,780894.5351,,,0.3,27,41.1,2.64,2.76
University of Louisville ,"Louisville, KY",40208,126125.2393,1052.292424,40292,9.988132926,88263.83007,122848.7837,145206.7242,182437.3078,456598.2033,,,0.8,7.9,73.6,2.06,2
Louisiana State University ,"Baton Rouge, LA",70820,232101.4031,1321.388889,70803,14.63746498,92791.9215,145096.0864,249396.1877,369235.7094,519551.2671,,,2.8,17.6,69.4,2.74,2.36
University of Pittsburgh,"Oakland, PA",15213,269162.7859,1779.722222,15260,12.60322081,176900.661,238227.9557,274007.4715,315052.1934,460386.2528,,,2.7,4.7,75.3,1.89,1.89
